alpha,seed,steps,len,panic_ratio,death
0.0,1000,1931,100,0.05696530295183842,Collision
0.0,1001,1724,94,0.011020881670533642,Collision
0.0,1002,539,38,0.012987012987012988,Collision
0.0,1003,1734,101,0.0530565167243368,Collision
0.0,1004,405,29,0.024691358024691357,Collision
0.0,1005,465,37,0.06236559139784946,Collision
0.0,1006,1287,76,0.028749028749028748,Collision
0.0,1007,1289,83,0.022498060512024826,Collision
0.0,1008,1086,77,0.02117863720073665,Collision
0.0,1009,260,24,0.019230769230769232,Collision
0.0,1010,2049,109,0.041971693509028796,Collision
0.0,1011,1317,75,0.029612756264236904,Collision
0.0,1012,952,63,0.029411764705882353,Collision
0.0,1013,1009,67,0.014866204162537165,Collision
0.0,1014,1656,88,0.028985507246376812,Collision
0.0,1015,954,58,0.029350104821802937,Collision
0.0,1016,1157,74,0.03197925669835782,Collision
0.0,1017,1096,77,0.024635036496350366,Collision
0.0,1018,1111,68,0.018001800180018002,Collision
0.0,1019,1447,84,0.0248790601243953,Collision
0.0,1020,834,54,0.03237410071942446,Collision
0.0,1021,1187,73,0.020219039595619208,Collision
0.0,1022,1718,90,0.034924330616996506,Collision
0.0,1023,671,52,0.028315946348733235,Collision
0.0,1024,1321,76,0.03557910673732021,Collision
0.0,1025,648,45,0.013888888888888888,Collision
0.0,1026,1463,81,0.02734107997265892,Collision
0.0,1027,1792,97,0.040736607142857144,Collision
0.0,1028,1427,81,0.0350385423966363,Collision
0.0,1029,1005,71,0.012935323383084577,Collision
0.5,1000,1931,100,0.0523045054375971,Collision
0.5,1001,1724,94,0.011020881670533642,Collision
0.5,1002,539,38,0.012987012987012988,Collision
0.5,1003,1698,98,0.032391048292108364,Collision
0.5,1004,407,29,0.02702702702702703,Collision
0.5,1005,465,37,0.06236559139784946,Collision
0.5,1006,1287,76,0.027972027972027972,Collision
0.5,1007,1289,83,0.021722265321955005,Collision
0.5,1008,1086,77,0.02117863720073665,Collision
0.5,1009,260,24,0.019230769230769232,Collision
0.5,1010,2049,109,0.03806734992679356,Collision
0.5,1011,1317,75,0.023538344722854973,Collision
0.5,1012,952,63,0.028361344537815126,Collision
0.5,1013,1009,67,0.014866204162537165,Collision
0.5,1014,1656,88,0.027777777777777776,Collision
0.5,1015,954,58,0.029350104821802937,Collision
0.5,1016,1157,74,0.025064822817631807,Collision
0.5,1017,1096,77,0.024635036496350366,Collision
0.5,1018,1111,68,0.018001800180018002,Collision
0.5,1019,1447,84,0.0221147201105736,Collision
0.5,1020,834,54,0.027577937649880094,Collision
0.5,1021,1187,73,0.020219039595619208,Collision
0.5,1022,1718,90,0.023864959254947613,Collision
0.5,1023,671,52,0.026825633383010434,Collision
0.5,1024,1321,76,0.03028009084027252,Collision
0.5,1025,648,45,0.013888888888888888,Collision
0.5,1026,1463,81,0.02050580997949419,Collision
0.5,1027,1792,97,0.03459821428571429,Collision
0.5,1028,1427,81,0.016818500350385426,Collision
0.5,1029,1003,71,0.009970089730807577,Collision
1.0,1000,1529,89,0.03727926749509483,Collision
1.0,1001,1724,94,0.011020881670533642,Collision
1.0,1002,539,38,0.012987012987012988,Collision
1.0,1003,1698,98,0.02944640753828033,Collision
1.0,1004,407,29,0.02702702702702703,Collision
1.0,1005,465,37,0.06236559139784946,Collision
1.0,1006,1287,76,0.02641802641802642,Collision
1.0,1007,1289,83,0.02094647013188518,Collision
1.0,1008,1086,77,0.02117863720073665,Collision
1.0,1009,260,24,0.019230769230769232,Collision
1.0,1010,2049,109,0.03709126403123475,Collision
1.0,1011,1317,75,0.012908124525436599,Collision
1.0,1012,952,63,0.0273109243697479,Collision
1.0,1013,1009,67,0.014866204162537165,Collision
1.0,1014,1656,88,0.02717391304347826,Collision
1.0,1015,954,58,0.029350104821802937,Collision
1.0,1016,1157,74,0.015557476231633534,Collision
1.0,1017,1096,77,0.024635036496350366,Collision
1.0,1018,1111,68,0.018001800180018002,Collision
1.0,1019,1447,84,0.02073255010366275,Collision
1.0,1020,834,54,0.022781774580335732,Collision
1.0,1021,1187,73,0.020219039595619208,Collision
1.0,1022,1718,90,0.008731082654249126,Collision
1.0,1023,671,52,0.026825633383010434,Collision
1.0,1024,1321,76,0.023467070401211203,Collision
1.0,1025,648,45,0.013888888888888888,Collision
1.0,1026,1463,81,0.010936431989063569,Collision
1.0,1027,1792,97,0.029017857142857144,Collision
1.0,1028,1427,81,0.006306937631394534,Collision
1.0,1029,1003,71,0.009970089730807577,Collision
1.5,1000,1529,89,0.032701111837802485,Collision
1.5,1001,1724,94,0.011020881670533642,Collision
1.5,1002,539,38,0.012987012987012988,Collision
1.5,1003,1698,98,0.024146054181389872,Collision
1.5,1004,409,30,0.029339853300733496,Collision
1.5,1005,465,37,0.06236559139784946,Collision
1.5,1006,1287,76,0.024087024087024088,Collision
1.5,1007,1289,83,0.02017067494181536,Collision
1.5,1008,1086,77,0.02117863720073665,Collision
1.5,1009,260,24,0.019230769230769232,Collision
1.5,1010,2049,109,0.032210834553440704,Collision
1.5,1011,1317,75,0.0,Collision
1.5,1012,952,63,0.026260504201680673,Collision
1.5,1013,1009,67,0.014866204162537165,Collision
1.5,1014,1656,88,0.026570048309178744,Collision
1.5,1015,954,58,0.029350104821802937,Collision
1.5,1016,1157,74,0.001728608470181504,Collision
1.5,1017,1096,77,0.024635036496350366,Collision
1.5,1018,1111,68,0.0144014401440144,Collision
1.5,1019,1447,84,0.02073255010366275,Collision
1.5,1020,834,54,0.017985611510791366,Collision
1.5,1021,1187,73,0.020219039595619208,Collision
1.5,1022,1718,90,0.0,Collision
1.5,1023,671,52,0.02533532041728763,Collision
1.5,1024,1321,76,0.013626040878122634,Collision
1.5,1025,648,45,0.013888888888888888,Collision
1.5,1026,1463,81,0.0,Collision
1.5,1027,1792,97,0.023995535714285716,Collision
1.5,1028,725,55,0.03310344827586207,Collision
1.5,1029,1003,71,0.009970089730807577,Collision
2.0,1000,1529,89,0.026160889470241987,Collision
2.0,1001,1724,94,0.011020881670533642,Collision
2.0,1002,539,38,0.012987012987012988,Collision
2.0,1003,1698,98,0.012367491166077738,Collision
2.0,1004,409,30,0.029339853300733496,Collision
2.0,1005,465,37,0.06236559139784946,Collision
2.0,1006,1287,76,0.02097902097902098,Collision
2.0,1007,1289,83,0.02017067494181536,Collision
2.0,1008,1086,77,0.02117863720073665,Collision
2.0,1009,260,24,0.019230769230769232,Collision
2.0,1010,1728,100,0.009259259259259259,Collision
2.0,1011,1317,75,0.0,Collision
2.0,1012,952,63,0.026260504201680673,Collision
2.0,1013,1009,67,0.011892963330029732,Collision
2.0,1014,1656,88,0.025362318840579712,Collision
2.0,1015,954,58,0.029350104821802937,Collision
2.0,1016,1157,74,0.0,Collision
2.0,1017,1092,77,0.020146520146520148,Collision
2.0,1018,1111,68,0.004500450045004501,Collision
2.0,1019,1447,84,0.017277125086385625,Collision
2.0,1020,834,54,0.013189448441247002,Collision
2.0,1021,1187,73,0.020219039595619208,Collision
2.0,1022,1718,90,0.0,Collision
2.0,1023,671,52,0.02384500745156483,Collision
2.0,1024,1321,76,0.006813020439061317,Collision
2.0,1025,648,45,0.013888888888888888,Collision
2.0,1026,1463,81,0.0,Collision
2.0,1027,1792,97,0.017299107142857144,Collision
2.0,1028,725,55,0.030344827586206897,Collision
2.0,1029,1003,71,0.009970089730807577,Collision
2.5,1000,1529,89,0.02419882275997384,Collision
2.5,1001,1724,94,0.011020881670533642,Collision
2.5,1002,539,38,0.012987012987012988,Collision
2.5,1003,1698,98,0.005889281507656066,Collision
2.5,1004,409,30,0.029339853300733496,Collision
2.5,1005,465,37,0.06236559139784946,Collision
2.5,1006,1287,76,0.020202020202020204,Collision
2.5,1007,1289,83,0.02017067494181536,Collision
2.5,1008,1086,77,0.02117863720073665,Collision
2.5,1009,260,24,0.019230769230769232,Collision
2.5,1010,1728,100,0.008680555555555556,Collision
2.5,1011,1317,75,0.0,Collision
2.5,1012,952,63,0.026260504201680673,Collision
2.5,1013,1009,67,0.008919722497522299,Collision
2.5,1014,1656,88,0.024154589371980676,Collision
2.5,1015,954,58,0.029350104821802937,Collision
2.5,1016,1157,74,0.0,Collision
2.5,1017,1086,77,0.01289134438305709,Collision
2.5,1018,1111,68,0.0,Collision
2.5,1019,1447,84,0.006219765031098825,Collision
2.5,1020,834,54,0.009592326139088728,Collision
2.5,1021,1187,73,0.020219039595619208,Collision
2.5,1022,1718,90,0.0,Collision
2.5,1023,671,52,0.022354694485842028,Collision
2.5,1024,1321,76,0.006813020439061317,Collision
2.5,1025,648,45,0.013888888888888888,Collision
2.5,1026,1463,81,0.0,Collision
2.5,1027,1792,97,0.013950892857142858,Collision
2.5,1028,725,55,0.028965517241379312,Collision
2.5,1029,1003,71,0.009970089730807577,Collision
3.0,1000,1529,89,0.02419882275997384,Collision
3.0,1001,1724,94,0.011020881670533642,Collision
3.0,1002,539,38,0.012987012987012988,Collision
3.0,1003,1698,98,0.005889281507656066,Collision
3.0,1004,409,30,0.029339853300733496,Collision
3.0,1005,402,34,0.03233830845771144,Collision
3.0,1006,1287,76,0.020202020202020204,Collision
3.0,1007,1289,83,0.02017067494181536,Collision
3.0,1008,1086,77,0.02117863720073665,Collision
3.0,1009,260,24,0.019230769230769232,Collision
3.0,1010,1728,100,0.008680555555555556,Collision
3.0,1011,1317,75,0.0,Collision
3.0,1012,952,63,0.026260504201680673,Collision
3.0,1013,1009,67,0.008919722497522299,Collision
3.0,1014,1656,88,0.022342995169082124,Collision
3.0,1015,954,58,0.029350104821802937,Collision
3.0,1016,1157,74,0.0,Collision
3.0,1017,1086,77,0.01289134438305709,Collision
3.0,1018,1111,68,0.0,Collision
3.0,1019,1447,84,0.0,Collision
3.0,1020,834,54,0.0,Collision
3.0,1021,1187,73,0.020219039595619208,Collision
3.0,1022,1718,90,0.0,Collision
3.0,1023,671,52,0.019374068554396422,Collision
3.0,1024,1321,76,0.006813020439061317,Collision
3.0,1025,648,45,0.013888888888888888,Collision
3.0,1026,1463,81,0.0,Collision
3.0,1027,1792,97,0.013950892857142858,Collision
3.0,1028,725,55,0.02482758620689655,Collision
3.0,1029,1003,71,0.009970089730807577,Collision
